id,report_id,account_name,balance_start,income_amount,expense_amount,balance_current,account_type,level,currency,is_total_row,created_at,subconto,parent_id,account_id,parent_account_id
3149a9c9-039c-40a5-8441-e950d4b11852,718e592b-5a5e-44e0-84dd-63f6433bfa71,Сбербанк8303,0.00,162708.14,0.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,1.1.Поступленияпоосновнойдеятельности,3a7e22eb-a9d2-48b8-b90d-770fd438b05d,e6f83c52-e3d5-11ef-967e-2c6dc1e036d0,0de5ff14-d0c9-11ef-967e-2c6dc1e036d0
3a7e22eb-a9d2-48b8-b90d-770fd438b05d,718e592b-5a5e-44e0-84dd-63f6433bfa71,Сбербанк8303,413807.70,344708.14,2025.00,756490.84,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,0de5ff14-d0c9-11ef-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
07350b35-1d09-4f68-acac-44a40c11403a,718e592b-5a5e-44e0-84dd-63f6433bfa71,Райффайзенбанк,4757.29,0.00,0.00,4757.29,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,e6f83c6c-e3d5-11ef-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
a34f0f49-db84-46b3-8629-3009c924648c,718e592b-5a5e-44e0-84dd-63f6433bfa71,ОТП-банк,10000.00,0.00,0.00,10000.00,bank,2,RUB,false,2025-07-23 17:32:42.000341+00,,f3304240-0979-4065-a276-c7d375b012ee,cf2702db-2011-11f0-967e-2c6dc1e036d0,0d5c1a45-7a3d-4db6-af5c-e6f388e42525
d199036d-59c0-4cca-ae52-90ae581a6a15,718e592b-5a5e-44e0-84dd-63f6433bfa71,Альфа-банк,0.00,0.00,309726.00,0.00,bank,3,RUB,false,2025-07-23 17:32:42.000341+00,3.9.7.Прочиеналоги,6ba8a625-2ae5-4b62-9f5f-f1feefc888fd,4c5093fe-ead1-11ef-967e-2c6dc1e036d0,495fafa7-d68b-11ef-967e-2c6dc1e036d0
4b54b24a-5271-4b8b-a01a-6736bba36889,871c40f3-689a-4801-a80c-50150202ebb3,Сбербанк,12016.21,0.00,0.00,12016.21,bank,2,RUB,false,2025-07-23 17:32:41.786593+00,,a2615ffe-cc0f-4a01-bc48-8659f363377f,f18efab4-0574-11f0-967e-2c6dc1e036d0,6fa89de9-b1f1-43ab-bb90-285179632602
2c588710-2562-477d-864e-e15ef7b8ea9d,871c40f3-689a-4801-a80c-50150202ebb3,ЮникредитБанккарта,7488.89,0.00,0.00,7488.89,bank,2,RUB,false,2025-07-23 17:32:41.786593+00,,a2615ffe-cc0f-4a01-bc48-8659f363377f,3d9b5c97-0570-11f0-967e-2c6dc1e036d0,6fa89de9-b1f1-43ab-bb90-285179632602
a2615ffe-cc0f-4a01-bc48-8659f363377f,871c40f3-689a-4801-a80c-50150202ebb3,,209777.22,0.00,0.00,209777.22,total,1,RUB,false,2025-07-23 17:32:41.786593+00,,,6fa89de9-b1f1-43ab-bb90-285179632602,
b6aed0e5-7ce9-4665-8b9b-f58f30ef33e3,871c40f3-689a-4801-a80c-50150202ebb3,ЮникредитБанк,190272.12,0.00,0.00,190272.12,bank,2,RUB,false,2025-07-23 17:32:41.786593+00,,a2615ffe-cc0f-4a01-bc48-8659f363377f,3d9b5c9a-0570-11f0-967e-2c6dc1e036d0,6fa89de9-b1f1-43ab-bb90-285179632602
0d066452-d151-404a-995f-b10ad81ad692,8f14073f-e637-4744-966c-42df27e3e06c,Альфа-банк,154325.99,0.00,0.00,154325.99,bank,2,RUB,false,2025-07-23 17:32:41.938274+00,,5fb4024b-16cc-4768-b8ee-5e75034d4546,85878fed-0bcd-11f0-967e-2c6dc1e036d0,e6ab6cae-9a8b-4e75-b7c4-2c5e0c49cc6a
5fb4024b-16cc-4768-b8ee-5e75034d4546,8f14073f-e637-4744-966c-42df27e3e06c,,312623.41,0.00,0.00,312623.41,total,1,RUB,false,2025-07-23 17:32:41.938274+00,,,e6ab6cae-9a8b-4e75-b7c4-2c5e0c49cc6a,
b478755e-7a17-44f4-8c89-9db004f86735,8f14073f-e637-4744-966c-42df27e3e06c,Сбербанк,158297.42,0.00,0.00,158297.42,bank,2,RUB,false,2025-07-23 17:32:41.938274+00,,5fb4024b-16cc-4768-b8ee-5e75034d4546,2648665b-0bcd-11f0-967e-2c6dc1e036d0,e6ab6cae-9a8b-4e75-b7c4-2c5e0c49cc6a
